Startup Name,Founded Year,Country,Industry,Funding Stage,Total Funding 
Startup_46,2020,Brazil,FinTech,Series C,86.0
Startup_47,2021,Japan,Energy,IPO,80.0
Startup_48,2015,Canada,Healthcare,Seed,462.0
Startup_49,2017,Japan,Gaming,Series B,281.0
Startup_50,2015,USA,FoodTech,Series B,307.0
Startup_51,2009,Japan,FinTech,Series A,116.0
Startup_52,2013,UK,Gaming,IPO,434.0
Startup_53,2006,Japan,EdTech,IPO,127.0
Startup_54,2019,UK,Energy,IPO,328.0
Startup_55,2002,Japan,FinTech,Seed,42.0
Startup_56,2004,Australia,Logistics,IPO,456.0
Startup_57,2003,Japan,Gaming,Seed,113.0
Startup_58,2018,Brazil,Logistics,Series A,53.0
Startup_59,2000,India,FoodTech,Series C,218.0
Startup_60,2015,Brazil,Logistics,Series C,325.0
Startup_61,2011,Japan,E-commerce,Series B,484.0
Startup_62,2013,India,Gaming,Series B,156.0
Startup_63,2011,USA,FinTech,Series A,119.0
Startup_64,2018,UK,Tech,Series A,259.0
Startup_65,2007,Brazil,Gaming,IPO,157.0
Startup_66,2017,Australia,Logistics,Series A,86.0
Startup_67,2013,France,FoodTech,Series C,482.0
Startup_68,2020,China,Logistics,Seed,424.0
Startup_69,2010,Germany,E-commerce,Series A,147.0
Startup_70,2013,France,Gaming,Series B,222.0
Startup_71,2009,Brazil,FinTech,IPO,370.0
Startup_72,2008,India,E-commerce,Series C,14.0
Startup_73,2011,USA,E-commerce,Series B,455.0
Startup_74,2007,France,Healthcare,Series A,300.0
Startup_75,2017,Japan,FoodTech,Seed,1.0
Startup_76,2000,Japan,E-commerce,Seed,62.0
Startup_77,2012,Canada,EdTech,Series B,267.0
Startup_78,2013,India,E-commerce,Seed,189.0
Startup_79,2005,Brazil,Healthcare,Series A,438.0
Startup_80,2002,China,AI,Series C,113.0
Startup_81,2021,UK,FoodTech,IPO,218.0
Startup_82,2005,China,E-commerce,Series A,96.0
Startup_83,2016,Australia,Energy,Series C,113.0
Startup_84,2005,China,Energy,Series A,438.0
Startup_85,2010,UK,Energy,Series B,228.0
Startup_86,2011,UK,AI,Series B,349.0
Startup_87,2006,USA,Tech,Series C,479.0
Startup_88,2020,India,Healthcare,IPO,139.0
Startup_89,2000,Brazil,AI,Seed,257.0
Startup_90,2012,France,Energy,IPO,496.0
Startup_91,2020,Brazil,Gaming,Seed,32.0
Startup_92,2007,China,E-commerce,IPO,9.0
Startup_93,2014,India,FinTech,Series B,67.0
Startup_94,2008,Germany,Energy,Series A,81.0
Startup_95,2006,India,EdTech,Series B,293.0
Startup_96,2004,France,AI,IPO,112.0
Startup_97,2009,USA,FinTech,Seed,72.0
Startup_98,2020,Germany,FoodTech,Series C,340.0
Startup_99,2007,Germany,EdTech,Series C,420.0
Startup_100,2016,Brazil,EdTech,Seed,55.0
Startup_101,2007,USA,EdTech,Series B,165.0
Startup_102,2000,China,FinTech,Series C,376.0
Startup_103,2018,UK,Energy,Series A,110.0
Startup_104,2015,China,Logistics,IPO,492.0
Startup_105,2000,France,Logistics,Seed,306.0
Startup_106,2008,Japan,E-commerce,IPO,291.0
Startup_107,2012,Japan,E-commerce,Seed,305.0
Startup_108,2011,Brazil,Tech,Series C,232.0
Startup_109,2007,Japan,Tech,IPO,15.0
Startup_110,2022,USA,E-commerce,Series C,233.0
Startup_111,2002,USA,FinTech,Series B,455.0
Startup_112,2021,Canada,FinTech,Series B,407.0
Startup_113,2002,Germany,Logistics,Seed,292.0
Startup_114,2011,UK,Gaming,IPO,409.0
Startup_115,2009,Brazil,Energy,Series A,282.0
Startup_116,2011,Australia,Healthcare,Seed,181.0
Startup_117,2022,Brazil,Tech,Series A,83.0
Startup_118,2011,Japan,AI,IPO,465.0
Startup_119,2000,Japan,AI,Series A,60.0
Startup_120,2007,Australia,Energy,Series A,420.0
Startup_121,2008,Australia,Logistics,Series A,243.0
Startup_122,2022,Australia,FinTech,Series A,455.0
Startup_123,2014,Canada,AI,Seed,267.0
Startup_124,2010,China,FoodTech,Series C,285.0
Startup_125,2003,Japan,Logistics,Series A,126.0
Startup_126,2013,China,Energy,Seed,18.0
Startup_127,2012,Australia,FoodTech,Series B,323.0
Startup_128,2015,USA,FinTech,Series B,120.0
Startup_129,2002,Canada,Gaming,Series C,93.0
Startup_130,2022,China,Gaming,Series C,210.0
Startup_131,2006,Germany,EdTech,Series C,282.0
Startup_132,2005,UK,Logistics,Seed,434.0
Startup_133,2014,Germany,Tech,IPO,106.0
Startup_134,2016,UK,Tech,IPO,413.0
Startup_135,2000,India,E-commerce,Series A,364.0
Startup_136,2020,UK,FoodTech,Series C,157.0
Startup_137,2003,Japan,Energy,Seed,177.0
Startup_138,2015,Germany,Healthcare,Series C,358.0
Startup_139,2018,Canada,EdTech,Series C,381.0
Startup_140,2012,China,Tech,IPO,108.0
Startup_141,2022,China,Logistics,IPO,302.0
Startup_142,2012,Germany,FoodTech,Series C,79.0
Startup_143,2003,Germany,Energy,Seed,388.0
Startup_144,2021,China,E-commerce,IPO,445.0
Startup_145,2017,China,FoodTech,Seed,362.0
Startup_146,2021,UK,AI,Series A,191.0
Startup_147,2014,USA,Energy,Series C,472.0
Startup_148,2022,Japan,Gaming,Series A,430.0
Startup_149,2020,Japan,EdTech,Series A,430.0
Startup_150,2004,France,EdTech,Seed,57.0
Startup_151,2003,Japan,Logistics,Series C,445.0
Startup_152,2020,France,Energy,Series A,406.0
Startup_153,2002,Brazil,Healthcare,Series B,473.0
Startup_154,2020,India,AI,Series C,350.0
Startup_155,2012,Brazil,E-commerce,Series A,163.0
Startup_156,2007,Brazil,EdTech,Series A,126.0
Startup_157,2005,Brazil,Tech,Series B,299.0
Startup_158,2008,Japan,FinTech,Series C,494.0
Startup_159,2000,Canada,Logistics,IPO,240.0
Startup_160,2019,USA,Healthcare,Series C,128.0
Startup_161,2004,France,FinTech,Series B,46.0
Startup_162,2006,Japan,FinTech,Series A,229.0
Startup_163,2021,Australia,Tech,Series C,357.0
Startup_164,2001,India,Healthcare,Series A,215.0
Startup_165,2006,UK,EdTech,Series B,244.0
Startup_166,2002,Canada,E-commerce,Series B,140.0
Startup_167,2016,Australia,EdTech,Series C,180.0
Startup_168,2013,France,Gaming,Series C,372.0
Startup_169,2011,USA,Logistics,Series C,394.0
Startup_170,2007,France,FoodTech,Series C,54.0
Startup_171,2022,Canada,Healthcare,Series A,317.0
Startup_172,2004,Brazil,AI,Series B,294.0
Startup_173,2016,China,Energy,IPO,347.0
Startup_174,2011,Brazil,Healthcare,IPO,393.0
Startup_175,2022,Canada,FoodTech,Seed,51.0
Startup_176,2010,Japan,EdTech,Series C,23.0
Startup_177,2012,UK,Tech,Series B,466.0
Startup_178,2022,UK,Healthcare,Series C,237.0
Startup_179,2002,Germany,E-commerce,Series C,314.0
Startup_180,2001,Canada,FoodTech,Series C,327.0
Startup_181,2009,Canada,Energy,Series C,96.0
Startup_182,2008,India,Healthcare,Series C,28.0
Startup_183,2022,Brazil,Energy,IPO,59.0
Startup_184,2011,Australia,Logistics,Series A,161.0
Startup_185,2003,France,FinTech,Series B,393.0
Startup_186,2015,Japan,Gaming,Series C,415.0
Startup_187,2014,UK,Healthcare,Series B,405.0
Startup_188,2005,Japan,AI,Seed,364.0
Startup_189,2017,Japan,FoodTech,Seed,175.0
Startup_190,2011,Australia,Gaming,Series A,414.0
Startup_191,2008,Australia,FoodTech,Series A,379.0
Startup_192,2006,Brazil,AI,Series B,224.0
Startup_193,2015,Canada,Gaming,Seed,70.0
Startup_194,2014,India,Tech,Series A,287.0
Startup_195,2006,India,Healthcare,Series B,490.0
Startup_196,2008,Canada,Logistics,Series B,329.0
Startup_197,2016,Japan,Logistics,Series C,280.0
Startup_198,2001,India,Tech,IPO,258.0
Startup_199,2012,USA,EdTech,Seed,254.0
Startup_200,2007,USA,Healthcare,Seed,315.0
Startup_201,2018,Canada,Healthcare,IPO,237.0
Startup_202,2004,Canada,FoodTech,Seed,422.0
Startup_203,2005,India,AI,IPO,213.0
Startup_204,2021,Germany,FoodTech,Series A,40.0
Startup_205,2003,India,AI,Seed,304.0
Startup_206,2012,Canada,Tech,Series C,9.0
Startup_207,2004,Japan,Healthcare,Series C,357.0
Startup_208,2020,UK,Energy,IPO,466.0
Startup_209,2018,UK,E-commerce,Series A,130.0
Startup_210,2019,USA,Healthcare,Seed,221.0
Startup_211,2007,USA,FinTech,Series B,411.0
Startup_212,2017,China,Tech,Series B,5.0
Startup_213,2006,Brazil,EdTech,Series C,473.0
Startup_214,2007,Canada,Energy,Series B,353.0
Startup_215,2004,Germany,FoodTech,Seed,372.0
Startup_216,2017,Brazil,FinTech,Series B,334.0
Startup_217,2002,UK,Gaming,Series B,322.0
Startup_218,2014,Australia,AI,Series A,220.0
Startup_219,2011,USA,EdTech,Series C,241.0
Startup_220,2020,USA,E-commerce,Seed,152.0
Startup_221,2001,UK,Logistics,Seed,433.0
Startup_222,2002,India,EdTech,Series A,12.0
Startup_223,2001,China,EdTech,Series B,214.0
Startup_224,2009,China,EdTech,Series A,55.0
Startup_225,2015,Australia,FoodTech,Series A,182.0
Startup_226,2018,Germany,Gaming,Series A,437.0
Startup_227,2009,France,Tech,Seed,198.0
Startup_228,2015,Brazil,Healthcare,Series C,87.0
Startup_229,2018,India,Energy,Seed,209.0
Startup_230,2009,Australia,Energy,IPO,456.0
Startup_231,2006,Canada,Energy,Series B,48.0
Startup_232,2015,Australia,Tech,IPO,424.0
Startup_233,2022,France,Logistics,Series C,486.0
Startup_234,2011,China,Logistics,Series A,340.0
Startup_235,2001,India,Logistics,IPO,133.0
Startup_236,2013,Japan,Tech,Series C,392.0
Startup_237,2004,Brazil,Energy,Series A,496.0
Startup_238,2013,Japan,AI,Series B,252.0
Startup_239,2013,Canada,Tech,Seed,295.0
Startup_240,2014,Japan,Energy,Seed,213.0
Startup_241,2022,Canada,AI,IPO,259.0
Startup_242,2005,Germany,Healthcare,Series A,104.0
Startup_243,2004,UK,FoodTech,Series C,167.0
Startup_244,2005,France,FoodTech,Series A,426.0
Startup_245,2005,China,Tech,IPO,242.0
Startup_246,2016,USA,EdTech,IPO,67.0
Startup_247,2016,China,AI,Seed,322.0
Startup_248,2002,UK,Healthcare,IPO,445.0
Startup_249,2019,India,FinTech,IPO,288.0
Startup_250,2016,Australia,EdTech,Series C,230.0
Startup_251,2010,Australia,FinTech,Series A,255.0
Startup_252,2021,China,E-commerce,Seed,46.0
Startup_253,2022,France,FoodTech,Series C,90.0
Startup_254,2011,Germany,AI,Series C,410.0
Startup_255,2008,USA,AI,Series A,341.0
Startup_256,2020,India,EdTech,Seed,291.0
Startup_257,2018,France,AI,Series A,323.0
Startup_258,2018,France,Logistics,IPO,454.0
Startup_259,2015,Japan,Gaming,Series B,6.0
Startup_260,2013,UK,AI,Series C,69.0
Startup_261,2001,Germany,Healthcare,IPO,492.0
Startup_262,2009,France,FinTech,Seed,181.0
Startup_263,2000,UK,Logistics,Seed,359.0
Startup_264,2019,India,Logistics,Series A,422.0
Startup_265,2008,Germany,Tech,Series B,142.0
Startup_266,2008,Brazil,Healthcare,Seed,453.0
Startup_267,2002,Canada,Healthcare,Series A,361.0
Startup_268,2009,Australia,Logistics,Series A,366.0
Startup_269,2010,France,Logistics,IPO,189.0
Startup_270,2019,Japan,AI,Series A,316.0
Startup_271,2008,France,Healthcare,Series A,40.0
Startup_272,2003,UK,Logistics,Seed,399.0
Startup_273,2014,France,FinTech,IPO,414.0
Startup_274,2001,Brazil,Gaming,Series A,333.0
Startup_275,2015,India,FinTech,Seed,403.0
Startup_276,2001,USA,Logistics,Series A,167.0
Startup_277,2014,Canada,FinTech,Series B,35.0
Startup_278,2012,USA,Gaming,Series A,267.0
Startup_279,2020,France,Logistics,Series C,253.0
Startup_280,2016,USA,Energy,Series C,347.0
Startup_281,2012,China,Logistics,IPO,55.0
Startup_282,2014,Germany,Healthcare,Series C,290.0
Startup_283,2002,Japan,Gaming,Seed,133.0
Startup_284,2002,USA,FinTech,IPO,73.0
Startup_285,2015,Australia,Gaming,Series B,227.0
Startup_286,2004,UK,Tech,Series A,343.0
Startup_287,2008,UK,Tech,Series C,349.0
Startup_288,2001,Germany,AI,Seed,484.0
Startup_289,2014,Germany,FinTech,Series C,271.0
Startup_290,2009,Japan,Energy,Series B,262.0
Startup_291,2011,UK,Energy,Seed,377.0
Startup_292,2002,India,Energy,Series B,358.0
Startup_293,2001,Canada,Logistics,IPO,333.0
Startup_294,2017,UK,Healthcare,IPO,99.0
Startup_295,2008,Brazil,Healthcare,Series C,396.0
Startup_296,2009,USA,FinTech,Seed,117.0
Startup_297,2013,Canada,Gaming,Series A,314.0
Startup_298,2022,Australia,AI,Series C,26.0
Startup_299,2007,Germany,FoodTech,IPO,8.0
Startup_300,2012,India,Healthcare,Series C,343.0
Startup_301,2010,Australia,Energy,IPO,109.0
Startup_302,2004,USA,Healthcare,IPO,8.0
Startup_303,2018,Japan,E-commerce,Seed,270.0
Startup_304,2001,Australia,FinTech,Series A,348.0
Startup_305,2013,China,EdTech,Series B,372.0
Startup_306,2014,Japan,Gaming,Series B,416.0
Startup_307,2016,Australia,FinTech,Series C,148.0
Startup_308,2015,India,FinTech,Series B,402.0
Startup_309,2017,Japan,Energy,Series A,435.0
Startup_310,2016,Australia,Gaming,Series A,85.0
Startup_311,2021,India,EdTech,Series B,158.0
Startup_312,2011,Japan,Healthcare,Seed,136.0
Startup_313,2000,Japan,Logistics,Series C,478.0
Startup_314,2008,USA,Gaming,Seed,303.0
Startup_315,2002,France,FinTech,Series A,190.0
Startup_316,2022,Germany,EdTech,Series B,419.0
Startup_317,2008,France,Energy,Series C,225.0
Startup_318,2020,Australia,Tech,Seed,162.0
Startup_319,2010,India,Gaming,Series A,282.0
Startup_320,2016,USA,Energy,Series C,3.0
Startup_321,2006,Canada,AI,Series B,413.0
Startup_322,2021,China,Energy,Series B,233.0
Startup_323,2020,Canada,AI,Series A,124.0
Startup_324,2002,India,E-commerce,Series A,352.0
Startup_325,2020,India,FoodTech,IPO,34.0
Startup_326,2020,UK,E-commerce,IPO,93.0
Startup_327,2022,China,Tech,Series B,158.0
Startup_328,2015,Germany,AI,Series A,260.0
Startup_329,2021,China,FinTech,IPO,210.0
Startup_330,2015,Germany,FoodTech,IPO,481.0
Startup_331,2010,Japan,E-commerce,Series A,461.0
Startup_332,2017,Brazil,EdTech,Series C,260.0
Startup_333,2004,Canada,FoodTech,IPO,129.0
Startup_334,2002,Brazil,Gaming,Series A,327.0
Startup_335,2007,India,EdTech,Seed,131.0
Startup_336,2005,Canada,E-commerce,IPO,186.0
Startup_337,2006,Brazil,FinTech,Series C,107.0
Startup_338,2002,France,FinTech,Series A,82.0
Startup_339,2011,Brazil,E-commerce,Series A,257.0
Startup_340,2021,UK,Energy,IPO,471.0
Startup_341,2006,Brazil,FoodTech,Seed,363.0
Startup_342,2005,France,Gaming,IPO,163.0
Startup_343,2004,China,EdTech,IPO,264.0
Startup_344,2004,UK,Healthcare,IPO,14.0
Startup_345,2000,France,E-commerce,IPO,14.0
Startup_346,2018,Brazil,Energy,Seed,327.0
Startup_347,2018,USA,Energy,Series B,358.0
Startup_348,2013,Canada,FoodTech,Seed,248.0
Startup_349,2003,Australia,Energy,Series B,76.0
Startup_350,2013,Germany,Logistics,Seed,99.0
Startup_351,2015,China,Tech,IPO,91.0
Startup_352,2001,India,FinTech,Series C,241.0
Startup_353,2012,India,FinTech,Seed,476.0
Startup_354,2017,Germany,FinTech,Seed,465.0
Startup_355,2018,France,EdTech,Seed,374.0
Startup_356,2013,USA,FinTech,Seed,65.0
Startup_357,2014,China,Energy,Series A,399.0
Startup_358,2003,UK,AI,Seed,138.0
Startup_359,2015,India,Gaming,Series B,166.0
Startup_360,2004,Japan,Gaming,Seed,238.0
Startup_361,2004,Australia,Gaming,Series C,105.0
Startup_362,2018,Germany,EdTech,Series A,363.0
Startup_363,2001,Australia,Tech,IPO,75.0
Startup_364,2003,Australia,EdTech,Series C,345.0
Startup_365,2020,USA,EdTech,Seed,434.0
Startup_366,2015,Japan,EdTech,Series B,482.0
Startup_367,2020,USA,E-commerce,Seed,94.0
Startup_368,2019,Australia,EdTech,Series B,389.0
Startup_369,2003,UK,Healthcare,IPO,113.0
Startup_370,2015,Canada,Energy,Series C,443.0
Startup_371,2005,Japan,FoodTech,Series C,43.0
Startup_372,2008,Canada,Energy,Seed,7.0
Startup_373,2002,Canada,Energy,Series A,404.0
Startup_374,2020,India,E-commerce,Series A,477.0
Startup_375,2015,Australia,AI,Series C,144.0
Startup_376,2010,Australia,Logistics,Series A,376.0
Startup_377,2010,China,Gaming,Series B,484.0
Startup_378,2000,China,EdTech,Seed,3.0
Startup_379,2013,Germany,Healthcare,IPO,56.0
Startup_380,2009,Germany,Gaming,IPO,64.0
Startup_381,2022,Japan,E-commerce,Series A,317.0
Startup_382,2001,India,EdTech,Series B,153.0
Startup_383,2013,Brazil,Gaming,IPO,212.0
Startup_384,2004,USA,EdTech,IPO,117.0
Startup_385,2005,UK,FinTech,Series C,223.0
Startup_386,2010,France,E-commerce,IPO,23.0
Startup_387,2008,Germany,E-commerce,Series B,75.0
Startup_388,2014,Japan,Tech,Series B,99.0
Startup_389,2022,Brazil,Gaming,Series C,456.0
Startup_390,2014,Brazil,Gaming,Seed,135.0
Startup_391,2009,France,AI,IPO,381.0
Startup_392,2001,Japan,FinTech,Series A,422.0
Startup_393,2016,India,AI,Seed,92.0
Startup_394,2001,UK,E-commerce,Series A,269.0
Startup_395,2015,USA,AI,Seed,8.0
Startup_396,2020,China,AI,Series C,268.0
Startup_397,2004,Australia,FinTech,IPO,324.0
Startup_398,2022,Brazil,Logistics,Seed,242.0
Startup_399,2014,USA,Tech,Series B,23.0
Startup_400,2013,UK,FoodTech,Seed,241.0
Startup_401,2007,Japan,FoodTech,IPO,134.0
Startup_402,2003,China,Healthcare,Series B,142.0
Startup_403,2004,UK,Logistics,Seed,69.0
Startup_404,2013,Germany,Tech,IPO,355.0
Startup_405,2015,Germany,FoodTech,IPO,218.0
Startup_406,2008,USA,Gaming,IPO,320.0
Startup_407,2000,Japan,EdTech,Series C,147.0
Startup_408,2008,UK,Tech,Series B,399.0
Startup_409,2005,Japan,Healthcare,Series C,484.0
Startup_410,2015,USA,FinTech,Seed,298.0
Startup_411,2022,Canada,Logistics,Series B,210.0
Startup_412,2010,Canada,AI,Seed,247.0
Startup_413,2009,Brazil,Tech,Series C,306.0
Startup_414,2003,Australia,E-commerce,Seed,19.0
Startup_415,2021,USA,EdTech,Series B,289.0
Startup_416,2018,France,AI,IPO,399.0
Startup_417,2004,India,AI,IPO,293.0
Startup_418,2009,Australia,EdTech,Series B,242.0
Startup_419,2007,Japan,FoodTech,IPO,457.0
Startup_420,2018,Germany,Energy,Series C,177.0
Startup_421,2005,USA,E-commerce,Series A,1.0
Startup_422,2014,France,Energy,Seed,393.0
Startup_423,2016,Australia,FoodTech,Seed,345.0
Startup_424,2007,Japan,AI,Series A,158.0
Startup_425,2020,UK,AI,Series B,354.0
Startup_426,2005,France,EdTech,Series B,19.0
Startup_427,2022,USA,Tech,Series B,211.0
Startup_428,2003,China,EdTech,Series B,356.0
Startup_429,2016,Canada,EdTech,Seed,66.0
Startup_430,2010,USA,E-commerce,Seed,318.0
Startup_431,2020,Japan,AI,Seed,195.0
Startup_432,2013,China,AI,Series A,445.0
Startup_433,2022,France,Energy,Seed,327.0
Startup_434,2007,Canada,FoodTech,Series C,165.0
Startup_435,2009,Germany,Tech,Series A,177.0
Startup_436,2002,USA,Logistics,Seed,3.0
Startup_437,2021,Brazil,AI,Series B,128.0
Startup_438,2001,Brazil,Gaming,Series B,333.0
Startup_439,2014,Australia,FoodTech,Series C,419.0
Startup_440,2001,France,Healthcare,Seed,262.0
Startup_441,2022,Brazil,FinTech,Seed,126.0
Startup_442,2012,France,EdTech,Series C,117.0
Startup_443,2019,Germany,Gaming,IPO,292.0
Startup_444,2016,China,Healthcare,IPO,292.0
Startup_445,2021,Australia,AI,Series C,234.0
Startup_446,2013,Canada,Energy,Series B,249.0
Startup_447,2020,France,Gaming,Seed,167.0
Startup_448,2009,UK,FinTech,Seed,353.0
Startup_449,2004,Australia,Logistics,Series B,210.0
Startup_450,2006,France,FinTech,Series C,238.0
Startup_451,2000,Japan,Tech,Series A,1.0
Startup_452,2012,UK,EdTech,Seed,397.0
Startup_453,2013,Canada,E-commerce,Series A,479.0
Startup_454,2010,USA,FoodTech,Series B,448.0
Startup_455,2009,India,FinTech,Series A,106.0
Startup_456,2011,Canada,FinTech,Series B,201.0
Startup_457,2022,Japan,Energy,IPO,380.0
Startup_458,2002,France,AI,Seed,486.0
Startup_459,2016,France,Gaming,Seed,39.0
Startup_460,2003,Brazil,AI,Series A,471.0
Startup_461,2000,Germany,Healthcare,Series C,402.0
Startup_462,2006,USA,AI,Series A,272.0
Startup_463,2003,Australia,AI,Seed,13.0
Startup_464,2014,Brazil,AI,Series B,415.0
Startup_465,2004,France,Healthcare,IPO,294.0
Startup_466,2014,Japan,AI,Series A,468.0
Startup_467,2020,Japan,Gaming,Series B,307.0
Startup_468,2011,USA,EdTech,Series B,315.0
Startup_469,2011,UK,Tech,IPO,286.0
Startup_470,2008,Brazil,Energy,IPO,398.0
Startup_471,2008,UK,FoodTech,Seed,113.0
Startup_472,2004,France,Gaming,Series B,51.0
Startup_473,2008,Brazil,Healthcare,IPO,215.0
Startup_474,2013,Brazil,Gaming,IPO,265.0
Startup_475,2003,Australia,AI,Series B,346.0
Startup_476,2003,Japan,Energy,Series C,100.0
Startup_477,2018,Japan,E-commerce,Series A,64.0
Startup_478,2020,Brazil,Energy,Seed,96.0
Startup_479,2002,China,FoodTech,Series C,456.0
Startup_480,2007,Australia,Logistics,Series C,391.0
Startup_481,2000,France,Energy,Series B,443.0
Startup_482,2004,China,EdTech,Series C,347.0
Startup_483,2004,India,E-commerce,Series B,239.0
Startup_484,2007,Brazil,AI,IPO,492.0
Startup_485,2000,Germany,AI,Series B,10.0
Startup_486,2004,China,EdTech,Series C,36.0
Startup_487,2022,China,Tech,Seed,173.0
Startup_488,2019,USA,Healthcare,IPO,233.0
Startup_489,2010,China,Energy,IPO,313.0
Startup_490,2012,Germany,AI,Seed,73.0
Startup_491,2012,Australia,FinTech,Seed,100.0
Startup_492,2012,Japan,AI,Series B,154.0
Startup_493,2013,France,Energy,Seed,207.0
Startup_494,2012,Japan,EdTech,Seed,195.0
Startup_495,2022,Japan,EdTech,Series A,425.0
Startup_496,2009,Japan,Tech,Series B,440.0
Startup_497,2022,India,Healthcare,Series B,92.0
Startup_498,2000,Germany,Energy,Series B,122.0
Startup_499,2005,Germany,Tech,Series C,413.0
Startup_500,2001,Australia,FinTech,Series C,429.0
Startup_501,2020,Germany,Logistics,Series A,168.0
Startup_502,2013,USA,Gaming,Series A,87.0
Startup_503,2017,USA,EdTech,Series C,221.0
Startup_504,2012,Brazil,FinTech,Seed,122.0
Startup_505,2017,Australia,Gaming,Seed,25.0
Startup_506,2022,China,FoodTech,IPO,324.0
Startup_507,2004,Australia,Gaming,Series A,203.0
Startup_508,2008,Canada,Healthcare,Series A,197.0
Startup_509,2022,Germany,Energy,Series A,81.0
Startup_510,2010,Germany,Tech,Series A,182.0
Startup_511,2007,Japan,E-commerce,Series A,28.0
Startup_512,2005,USA,Logistics,IPO,143.0
Startup_513,2005,Japan,Gaming,Series A,482.0
Startup_514,2014,China,Logistics,Series A,489.0
Startup_515,2020,India,Logistics,Series C,458.0
Startup_516,2012,Germany,Healthcare,Seed,406.0
Startup_517,2017,Germany,Tech,IPO,100.0
Startup_518,2018,Canada,EdTech,Series A,179.0
Startup_519,2009,Canada,Healthcare,Series A,49.0
Startup_520,2020,Japan,FinTech,Series B,236.0
Startup_521,2007,India,AI,Series B,179.0
Startup_522,2019,France,Energy,Series B,264.0
Startup_523,2005,India,E-commerce,IPO,337.0
Startup_524,2003,Canada,Healthcare,IPO,15.0
Startup_525,2007,Canada,Healthcare,Series B,451.0
Startup_526,2001,Canada,E-commerce,IPO,343.0
Startup_527,2007,UK,AI,Seed,431.0
Startup_528,2006,UK,FoodTech,IPO,72.0
Startup_529,2006,Canada,Logistics,IPO,485.0
Startup_530,2021,UK,Gaming,Series B,116.0
Startup_531,2007,Brazil,Logistics,Series B,100.0
Startup_532,2012,China,FoodTech,IPO,84.0
Startup_533,2004,UK,AI,IPO,67.0
Startup_534,2009,UK,FinTech,Series C,393.0
Startup_535,2004,India,E-commerce,IPO,139.0
Startup_536,2010,Brazil,E-commerce,Series C,356.0
Startup_537,2018,India,FinTech,Series A,386.0
Startup_538,2003,China,FoodTech,Series A,406.0
Startup_539,2018,China,FoodTech,Series B,179.0
Startup_540,2020,UK,Tech,Series A,156.0
Startup_541,2018,USA,E-commerce,IPO,147.0
Startup_542,2015,France,AI,Seed,317.0
Startup_543,2021,India,Tech,Seed,252.0
Startup_544,2008,China,Logistics,Series C,350.0
Startup_545,2002,France,AI,Series A,104.0
Startup_546,2012,Germany,Logistics,Series B,391.0
Startup_547,2007,Germany,Healthcare,IPO,215.0
Startup_548,2020,UK,E-commerce,IPO,480.0
Startup_549,2022,USA,Logistics,IPO,367.0
Startup_550,2022,Brazil,AI,Series C,280.0
Startup_551,2011,France,AI,Series A,210.0
Startup_552,2001,Australia,EdTech,Series C,268.0
Startup_553,2009,Japan,Tech,IPO,318.0
